Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 53110 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  10.60-10.70  sec  0.00 Bytes  0.00 bits/sec   81   5.18 MBytes       
[  4]  10.70-10.80  sec  0.00 Bytes  0.00 bits/sec   84   5.06 MBytes       
[  4]  10.80-10.90  sec  0.00 Bytes  0.00 bits/sec   81   4.95 MBytes       
[  4]  10.90-11.00  sec  0.00 Bytes  0.00 bits/sec   84   4.83 MBytes       
[  4]  11.00-11.10  sec  0.00 Bytes  0.00 bits/sec   81   4.72 MBytes       
[  4]  11.10-11.20  sec  0.00 Bytes  0.00 bits/sec   84   4.60 MBytes       
[  4]  11.20-11.30  sec  0.00 Bytes  0.00 bits/sec   81   4.49 MBytes       
[  4]  11.30-11.40  sec  0.00 Bytes  0.00 bits/sec   78   4.38 MBytes       
[  4]  11.40-11.50  sec  0.00 Bytes  0.00 bits/sec   81   4.27 MBytes       
[  4]  11.50-11.60  sec  0.00 Bytes  0.00 bits/sec   30   4.23 MBytes       
[  4]  11.60-11.70  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  11.70-11.80  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  11.80-11.90  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  11.90-12.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.00-12.10  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.10-12.20  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.20-12.30  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.30-12.40  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.40-12.50  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.50-12.60  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.60-12.70  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.70-12.80  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.80-12.90  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  12.90-13.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.00-13.10  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.10-13.20  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.20-13.30  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.30-13.40  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.40-13.50  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.50-13.60  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.60-13.70  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.70-13.80  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.80-13.90  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  13.90-14.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.00-14.10  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.10-14.20  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.20-14.30  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.30-14.40  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.40-14.50  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.50-14.60  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.60-14.70  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.70-14.80  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.80-14.90  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  4]  14.90-15.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-15.00  sec  17.5 MBytes  9.79 Mbits/sec  2727             sender
[  4]   0.00-15.00  sec  8.43 MBytes  4.71 Mbits/sec                  receiver

iperf Done.
