Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 44610 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  13.70-13.80  sec  0.00 Bytes  0.00 bits/sec    0   1.30 MBytes       
[  4]  13.80-13.90  sec  0.00 Bytes  0.00 bits/sec    0   1.32 MBytes       
[  4]  13.90-14.00  sec  1.25 MBytes   105 Mbits/sec    0   1.34 MBytes       
[  4]  14.00-14.10  sec  0.00 Bytes  0.00 bits/sec    0   1.37 MBytes       
[  4]  14.10-14.20  sec  0.00 Bytes  0.00 bits/sec    0   1.39 MBytes       
[  4]  14.20-14.30  sec  0.00 Bytes  0.00 bits/sec    0   1.42 MBytes       
[  4]  14.30-14.40  sec  0.00 Bytes  0.00 bits/sec    0   1.44 MBytes       
[  4]  14.40-14.50  sec  0.00 Bytes  0.00 bits/sec    0   1.47 MBytes       
[  4]  14.50-14.60  sec  0.00 Bytes  0.00 bits/sec    0   1.50 MBytes       
[  4]  14.60-14.70  sec  1.25 MBytes   105 Mbits/sec    0   1.53 MBytes       
[  4]  14.70-14.80  sec  0.00 Bytes  0.00 bits/sec    0   1.56 MBytes       
[  4]  14.80-14.90  sec  0.00 Bytes  0.00 bits/sec    0   1.58 MBytes       
[  4]  14.90-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.61 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-15.00  sec  22.9 MBytes  12.8 Mbits/sec    0             sender
[  4]   0.00-15.00  sec  18.4 MBytes  10.3 Mbits/sec                  receiver

iperf Done.
