Connecting to host 10.0.0.1, port 5566
[ 24] local 10.0.0.3 port 49710 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]  11.41-11.51  sec  35.0 MBytes  3.07 Gbits/sec    0   6.80 MBytes       
[ 24]  11.51-11.64  sec  22.5 MBytes  1.48 Gbits/sec    0   6.80 MBytes       
[ 24]  11.64-11.70  sec  17.5 MBytes  2.30 Gbits/sec    0   6.80 MBytes       
[ 24]  11.70-11.84  sec  47.5 MBytes  2.81 Gbits/sec    0   6.80 MBytes       
[ 24]  11.84-11.90  sec  33.8 MBytes  4.60 Gbits/sec    0   6.80 MBytes       
[ 24]  11.90-12.00  sec  15.0 MBytes  1.29 Gbits/sec    0   7.14 MBytes       
[ 24]  12.00-12.10  sec  46.2 MBytes  3.97 Gbits/sec    0   7.14 MBytes       
[ 24]  12.10-12.20  sec  17.5 MBytes  1.47 Gbits/sec    0   7.14 MBytes       
[ 24]  12.20-12.30  sec  66.2 MBytes  5.55 Gbits/sec    0   7.14 MBytes       
[ 24]  12.30-12.40  sec   100 MBytes  8.34 Gbits/sec    0   7.14 MBytes       
[ 24]  12.40-12.50  sec  80.0 MBytes  6.76 Gbits/sec    0   7.14 MBytes       
[ 24]  12.50-12.60  sec  65.0 MBytes  5.43 Gbits/sec    0   7.14 MBytes       
[ 24]  12.60-12.70  sec  92.5 MBytes  7.66 Gbits/sec    0   7.14 MBytes       
[ 24]  12.70-12.80  sec  83.8 MBytes  7.10 Gbits/sec    0   7.14 MBytes       
[ 24]  12.80-12.90  sec  68.8 MBytes  5.80 Gbits/sec    0   7.14 MBytes       
[ 24]  12.90-13.00  sec  96.2 MBytes  8.07 Gbits/sec    0   7.14 MBytes       
[ 24]  13.00-13.11  sec  82.5 MBytes  6.50 Gbits/sec    0   7.14 MBytes       
[ 24]  13.11-13.20  sec   149 MBytes  13.4 Gbits/sec    0   7.14 MBytes       
[ 24]  13.20-13.30  sec  88.8 MBytes  7.43 Gbits/sec    0   7.14 MBytes       
[ 24]  13.30-13.40  sec   130 MBytes  10.9 Gbits/sec    0   7.14 MBytes       
[ 24]  13.40-13.50  sec  88.8 MBytes  7.35 Gbits/sec    0   7.14 MBytes       
[ 24]  13.50-13.60  sec  76.2 MBytes  6.50 Gbits/sec    0   7.14 MBytes       
[ 24]  13.60-13.70  sec   105 MBytes  8.68 Gbits/sec    0   7.14 MBytes       
[ 24]  13.70-13.80  sec  86.2 MBytes  7.25 Gbits/sec    0   7.14 MBytes       
[ 24]  13.80-13.90  sec  91.2 MBytes  7.73 Gbits/sec    0   7.14 MBytes       
[ 24]  13.90-14.00  sec  55.0 MBytes  4.57 Gbits/sec    0   7.14 MBytes       
[ 24]  14.00-14.10  sec  73.8 MBytes  6.14 Gbits/sec    0   7.14 MBytes       
[ 24]  14.10-14.20  sec  38.8 MBytes  3.30 Gbits/sec    0   7.50 MBytes       
[ 24]  14.20-14.30  sec  67.5 MBytes  5.69 Gbits/sec    0   7.50 MBytes       
[ 24]  14.30-14.41  sec  65.0 MBytes  5.16 Gbits/sec    0   7.50 MBytes       
[ 24]  14.41-14.50  sec  51.2 MBytes  4.48 Gbits/sec    0   7.50 MBytes       
[ 24]  14.50-14.62  sec  52.5 MBytes  3.62 Gbits/sec    0   7.50 MBytes       
